N,Rg,error
10,1.9334851489253544,0.20245745735532533
20,3.5017354837724293,0.6920729742589764
30,4.750283364130335,0.25816878951991257
40,5.9284031574676925,1.3339050077036825
50,7.397585245938231,0.8982734307644151
60,7.584230667886605,1.4268542820366081
70,9.27060800495508,1.4871105226394141
80,11.241152422442621,1.4989733511322987
90,13.359670666472265,1.0534169508146447
100,15.601473088350016,1.6757745315596173
150,15.562344655621638,2.325805772490547
200,19.237368878939893,3.7533726079294194
